id,key,name,synonyms,code,born_at,city_id,state_id,country_id,nationality_id,created_at,updated_at
434,andreassamaris,Andreas Samaris,,,,,,,,2018-07-17 10:57:16.681450,2018-07-17 10:57:16.681450
435,georgiossamaras,Georgios Samaras,,,,,,,,2018-07-17 10:57:16.687721,2018-07-17 10:57:16.687721
436,edinsoncavani,Edinson Cavani,,,,,,,,2018-07-17 10:57:16.700677,2018-07-17 10:57:16.700677
437,joelcampbell,Joel Campbell,,,,,,,,2018-07-17 10:57:16.703573,2018-07-17 10:57:16.703573
438,oscarduarte,Oscar Duarte,,,,,,,,2018-07-17 10:57:16.706392,2018-07-17 10:57:16.706392
439,marcosurena,Marcos Ureña,,,,,,,,2018-07-17 10:57:16.709782,2018-07-17 10:57:16.709782
440,claudiomarchisio,Claudio Marchisio,,,,,,,,2018-07-17 10:57:16.724938,2018-07-17 10:57:16.724938
441,danielsturridge,Daniel Sturridge,,,,,,,,2018-07-17 10:57:16.727883,2018-07-17 10:57:16.727883
442,mariobalotelli,Mario Balotelli,,,,,,,,2018-07-17 10:57:16.730755,2018-07-17 10:57:16.730755
443,luissuarez,Luis Suárez,,,,,,,,2018-07-17 10:57:16.743431,2018-07-17 10:57:16.743431
444,waynerooney,Wayne Rooney,,,,,,,,2018-07-17 10:57:16.748401,2018-07-17 10:57:16.748401
445,bryanruiz,Bryan Ruiz,,,,,,,,2018-07-17 10:57:16.761650,2018-07-17 10:57:16.761650
446,diegogodin,Diego Godín,,,,,,,,2018-07-17 10:57:16.772191,2018-07-17 10:57:16.772191
447,ennervalencia,Enner Valencia,,,,,,,,2018-07-17 10:57:16.793256,2018-07-17 10:57:16.793256
448,admirmehmedi,Admir Mehmedi,,,,,,,,2018-07-17 10:57:16.796187,2018-07-17 10:57:16.796187
449,harisseferovic,Haris Seferović,,,,,,,,2018-07-17 10:57:16.799151,2018-07-17 10:57:16.799151
450,karimbenzema,Karim Benzema,,,,,,,,2018-07-17 10:57:16.813053,2018-07-17 10:57:16.813053
451,noelvalladares,Noel Valladares,,,,,,,,2018-07-17 10:57:16.817714,2018-07-17 10:57:16.817714
452,oliviergiroud,Olivier Giroud,,,,,,,,2018-07-17 10:57:16.833865,2018-07-17 10:57:16.833865
453,blaisematuidi,Blaise Matuidi,,,,,,,,2018-07-17 10:57:16.836860,2018-07-17 10:57:16.836860
454,mathieuvalbuena,Mathieu Valbuena,,,,,,,,2018-07-17 10:57:16.840596,2018-07-17 10:57:16.840596
455,moussasissoko,Moussa Sissoko,,,,,,,,2018-07-17 10:57:16.847818,2018-07-17 10:57:16.847818
456,blerimdzemaili,Blerim Džemaili,,,,,,,,2018-07-17 10:57:16.851512,2018-07-17 10:57:16.851512
457,granitxhaka,Granit Xhaka,,,,,,,,2018-07-17 10:57:16.854320,2018-07-17 10:57:16.854320
458,carlocostly,Carlo Costly,,,,,,,,2018-07-17 10:57:16.866034,2018-07-17 10:57:16.866034
459,xherdanshaqiri,Xherdan Shaqiri,,,,,,,,2018-07-17 10:57:16.883832,2018-07-17 10:57:16.883832
460,seadkolasinac,Sead Kolašinac,,,,,,,,2018-07-17 10:57:16.903875,2018-07-17 10:57:16.903875
461,lionelmessi,Lionel Messi,,,,,,,,2018-07-17 10:57:16.908058,2018-07-17 10:57:16.908058
462,vedadibisevic,Vedad Ibišević,,,,,,,,2018-07-17 10:57:16.913458,2018-07-17 10:57:16.913458
463,peterodemwingie,Peter Odemwingie,,,,,,,,2018-07-17 10:57:16.943869,2018-07-17 10:57:16.943869
464,ahmedmusa,Ahmed Musa,,,,,,,,2018-07-17 10:57:16.959904,2018-07-17 10:57:16.959904
465,marcosrojo,Marcos Rojo,,,,,,,,2018-07-17 10:57:16.965410,2018-07-17 10:57:16.965410
466,edindzeko,Edin Džeko,,,,,,,,2018-07-17 10:57:16.981419,2018-07-17 10:57:16.981419
467,miralempjanic,Miralem Pjanić,,,,,,,,2018-07-17 10:57:16.984393,2018-07-17 10:57:16.984393
468,rezaghoochannejhad,Reza Ghoochannejhad,,,,,,,,2018-07-17 10:57:16.987296,2018-07-17 10:57:16.987296
469,avdijavrsajevic,Avdija Vršajević,,,,,,,,2018-07-17 10:57:16.990115,2018-07-17 10:57:16.990115
470,thomasmueller,Thomas Müller,,,,,,,,2018-07-17 10:57:17.002995,2018-07-17 10:57:17.002995
471,matshummels,Mats Hummels,,,,,,,,2018-07-17 10:57:17.008142,2018-07-17 10:57:17.008142
472,clintdempsey,Clint Dempsey,,,,,,,,2018-07-17 10:57:17.024683,2018-07-17 10:57:17.024683
473,andreayew,André Ayew,,,,,,,,2018-07-17 10:57:17.027635,2018-07-17 10:57:17.027635
474,johnbrooks,John Brooks,,,,,,,,2018-07-17 10:57:17.030492,2018-07-17 10:57:17.030492
475,mariogoetze,Mario Götze,,,,,,,,2018-07-17 10:57:17.046428,2018-07-17 10:57:17.046428
476,asamoahgyan,Asamoah Gyan,,,,,,,,2018-07-17 10:57:17.050796,2018-07-17 10:57:17.050796
477,miroslavklose,Miroslav Klose,,,,,,,,2018-07-17 10:57:17.053639,2018-07-17 10:57:17.053639
478,jermainejones,Jermaine Jones,,,,,,,,2018-07-17 10:57:17.068557,2018-07-17 10:57:17.068557
479,johnboye,John Boye,,,,,,,,2018-07-17 10:57:17.095267,2018-07-17 10:57:17.095267
480,cristianoronaldo,Cristiano Ronaldo,,,,,,,,2018-07-17 10:57:17.099624,2018-07-17 10:57:17.099624
481,sofianefeghouli,Sofiane Feghouli,,,,,,,,2018-07-17 10:57:17.115598,2018-07-17 10:57:17.115598
482,marouanefellaini,Marouane Fellaini,,,,,,,,2018-07-17 10:57:17.118646,2018-07-17 10:57:17.118646
483,driesmertens,Dries Mertens,,,,,,,,2018-07-17 10:57:17.121521,2018-07-17 10:57:17.121521
484,leekeunho,Lee Keunho,,,,,,,,2018-07-17 10:57:17.132871,2018-07-17 10:57:17.132871
485,alexanderkerzhakov,Alexander Kerzhakov,,,,,,,,2018-07-17 10:57:17.137865,2018-07-17 10:57:17.137865
486,divockorigi,Divock Origi,,,,,,,,2018-07-17 10:57:17.150386,2018-07-17 10:57:17.150386
